[2017-02-27 13:07:38 #18006.0]	NOTICE	Server is shutdown now.
1[2017-02-27 13:07:40 ^18292.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18296.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:40 ^18295.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:40 *18294.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18297.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18298.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18300.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18299.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18301.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18302.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18303.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18304.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18305.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18306.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18307.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18309.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18308.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18310.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18311.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18312.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18314.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18313.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18315.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
11[2017-02-27 13:07:40 *18316.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
[2017-02-27 13:07:40 *18317.1]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18318.0]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18320.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18321.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18322.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18319.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18323.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18325.6]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18324.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18326.5]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18327.4]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18328.3]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 *18329.2]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
1[2017-02-27 13:07:40 ^18330.7]	ERROR	zm_deactivate_swoole (ERROR 9003): worker process is terminated by exit()/die().
